epoch,train_loss,val_loss,val_f1
1,1.032320669811705,0.28161821762720746,0.0
2,0.15667267840193666,0.08894989391167958,0.5649122807017543
3,0.07465792763168397,0.06460796389728785,0.750965250965251
4,0.05658179311000783,0.06210812398542961,0.7642998027613414
5,0.04945277475306521,0.06316739972680807,0.7642585551330798
6,0.044658168664445046,0.06180855476607879,0.7612590799031477
7,0.0414378069665121,0.06585030319790046,0.7677581863979849
8,0.038172811553206135,0.0640244862685601,0.7711198428290766
9,0.03693165662495986,0.06422127007196347,0.7724815724815726
10,0.03526987730646911,0.06442626751959324,0.7628765792031098
11,0.03366114980662647,0.06488732838382323,0.7673389080177078
12,0.032849789718570915,0.06517375850429137,0.7737801872843765
