epoch,train_loss,val_loss,category_acc,sub_acc
1,2.66161084894746,1.0480957987104975,0.9810490045941807,0.803407350689127
2,0.5768221190438809,0.19231945580643853,0.9990428790199081,0.983728943338438
3,0.13291264108316167,0.07242102486581155,0.9996171516079633,0.9911944869831547
4,0.06858982622447446,0.047969867628658326,0.9998085758039816,0.9933001531393568
5,0.04888220141174912,0.03869937420765892,0.9998085758039816,0.9957886676875957
6,0.037944112686816786,0.03156773633289537,0.9998085758039816,0.9957886676875957
7,0.03039097673139899,0.024975014387675357,0.9998085758039816,0.9959800918836141
8,0.02493169941643639,0.022129321888248187,0.9998085758039816,0.9959800918836141
9,0.02120184833843877,0.021575686047648694,0.9998085758039816,0.9957886676875957
10,0.01928301394142191,0.0192223414643838,0.9998085758039816,0.9965543644716692
11,0.01678142316267872,0.019492105644752795,0.9998085758039816,0.9954058192955589
12,0.016073610066507118,0.01764555364384361,0.9998085758039816,0.9957886676875957
13,0.012821664681702148,0.01694502117518313,0.9998085758039816,0.9959800918836141
14,0.012530800678676821,0.01719277722068222,0.9998085758039816,0.9961715160796325
15,0.011830730738944504,0.01790717669348119,0.9998085758039816,0.9961715160796325
16,0.010830392841044374,0.01694277037544142,0.9998085758039816,0.9965543644716692
17,0.009980303235657592,0.017685095267796252,0.9998085758039816,0.9959800918836141
18,0.009121994263054975,0.017343644532247265,0.9998085758039816,0.9965543644716692
19,0.00904759231238599,0.017189275319673826,0.9998085758039816,0.9967457886676876
20,0.009609446188635401,0.016991548062722402,0.9998085758039816,0.996937212863706
